tm_id,dfl_id,club_name,shirt_number,full_name_tm,date_of_birth,position,saison
43824,NULL,"FC Schalke 04",22,KevinMüller,NULL,Torwart,2025_2026
44466,NULL,"Eintracht Frankfurt",17,SebastianRode,NULL,"Mittelfeld - Zentrales Mittelfeld",2022_2023
44466,NULL,"Eintracht Frankfurt",17,SebastianRode,NULL,"Mittelfeld - Zentrales Mittelfeld",2023_2024
44536,NULL,"SV 07 Elversberg",1,FrankLehmann,NULL,Torwart,2022_2023
44536,NULL,"SV 07 Elversberg",1,FrankLehmann,NULL,Torwart,2023_2024
44536,NULL,"SV 07 Elversberg",1,FrankLehmann,NULL,Torwart,2024_2025
44536,NULL,"SV 07 Elversberg",1,FrankLehmann,NULL,Torwart,2025_2026
44607,NULL,"Hamburger SV",12,TomMickel,NULL,Torwart,2022_2023
44607,NULL,"Hamburger SV",12,TomMickel,NULL,Torwart,2023_2024
44607,NULL,"Hamburger SV",12,TomMickel,NULL,Torwart,2024_2025
45660,NULL,"FC Bayern München",13,Eric-MaximChoupo-Moting,NULL,"Sturm - Mittelstürmer",2022_2023
45660,NULL,"FC Bayern München",13,Eric-MaximChoupo-Moting,NULL,"Sturm - Mittelstürmer",2023_2024
45672,NULL,"Eintracht Frankfurt",1,KevinTrapp,NULL,Torwart,2022_2023
45672,NULL,"Eintracht Frankfurt",1,KevinTrapp,NULL,Torwart,2023_2024
45672,NULL,"Eintracht Frankfurt",1,KevinTrapp,NULL,Torwart,2024_2025
45683,NULL,"SC Freiburg",5,ManuelGulde,NULL,"Abwehr - Innenverteidiger",2022_2023
45683,NULL,"SC Freiburg",5,ManuelGulde,NULL,"Abwehr - Innenverteidiger",2023_2024
45683,NULL,"SC Freiburg",5,ManuelGulde,NULL,"Abwehr - Innenverteidiger",2024_2025
46580,NULL,"TSG 1899 Hoffenheim",27,AndrejKramaric,NULL,"Sturm - Hängende Spitze",2022_2023
46580,NULL,"TSG 1899 Hoffenheim",27,AndrejKramaric,NULL,"Sturm - Hängende Spitze",2023_2024
46580,NULL,"TSG 1899 Hoffenheim",27,AndrejKramaric,NULL,"Sturm - Hängende Spitze",2024_2025
46580,NULL,"TSG 1899 Hoffenheim",27,AndrejKramaric,NULL,"Sturm - Hängende Spitze",2025_2026
47587,NULL,"Borussia Mönchengladbach",24,TonyJantschke,NULL,"Abwehr - Rechter Verteidiger",2022_2023
47587,NULL,"Borussia Mönchengladbach",24,TonyJantschke,NULL,"Abwehr - Rechter Verteidiger",2023_2024
48015,NULL,"Bayer 04 Leverkusen",1,LukasHradecky,NULL,Torwart,2022_2023
48015,NULL,"Bayer 04 Leverkusen",1,LukasHradecky,NULL,Torwart,2023_2024
48015,NULL,"Bayer 04 Leverkusen",1,LukasHradecky,NULL,Torwart,2024_2025
48298,NULL,"Borussia Mönchengladbach",13,LarsStindl,NULL,"Mittelfeld - Offensives Mittelfeld",2022_2023
49723,NULL,"Eintracht Frankfurt",22,TimothyChandler,NULL,"Abwehr - Rechter Verteidiger",2022_2023
49723,NULL,"Eintracht Frankfurt",22,TimothyChandler,NULL,"Abwehr - Rechter Verteidiger",2023_2024
49723,NULL,"Eintracht Frankfurt",22,TimothyChandler,NULL,"Abwehr - Rechter Verteidiger",2024_2025
49723,NULL,"Eintracht Frankfurt",22,TimothyChandler,NULL,"Abwehr - Rechter Verteidiger",2025_2026
50512,NULL,"1.FC Köln",NULL,AnthonyModeste,NULL,"Sturm - Mittelstürmer",2022_2023
51676,NULL,"TSG 1899 Hoffenheim",4,ErminBicakcic,NULL,"Abwehr - Innenverteidiger",2022_2023
52348,NULL,"TSG 1899 Hoffenheim",NULL,BenjaminHübner,NULL,"Abwehr - Innenverteidiger",2022_2023
53400,NULL,"FC Schalke 04",24,DominickDrexler,NULL,"Mittelfeld - Offensives Mittelfeld",2022_2023
53400,NULL,"FC Schalke 04",24,DominickDrexler,NULL,"Mittelfeld - Offensives Mittelfeld",2023_2024
53400,NULL,"FC Schalke 04",NULL,DominickDrexler,NULL,"Mittelfeld - Offensives Mittelfeld",2024_2025
53418,NULL,"RB Leipzig",44,KevinKampl,NULL,"Mittelfeld - Zentrales Mittelfeld",2022_2023
53418,NULL,"RB Leipzig",44,KevinKampl,NULL,"Mittelfeld - Zentrales Mittelfeld",2023_2024
53418,NULL,"RB Leipzig",44,KevinKampl,NULL,"Mittelfeld - Zentrales Mittelfeld",2024_2025
53418,NULL,"RB Leipzig",NULL,KevinKampl,NULL,"Mittelfeld - Zentrales Mittelfeld",2025_2026
55089,NULL,"TSG 1899 Hoffenheim",1,OliverBaumann,NULL,Torwart,2022_2023
55089,NULL,"TSG 1899 Hoffenheim",1,OliverBaumann,NULL,Torwart,2023_2024
55089,NULL,"TSG 1899 Hoffenheim",1,OliverBaumann,NULL,Torwart,2024_2025
55089,NULL,"TSG 1899 Hoffenheim",1,OliverBaumann,NULL,Torwart,2025_2026
55099,NULL,"SC Freiburg",27,NicolasHöfler,NULL,"Mittelfeld - Defensives Mittelfeld",2022_2023
55099,NULL,"SC Freiburg",27,NicolasHöfler,NULL,"Mittelfeld - Defensives Mittelfeld",2023_2024
55099,NULL,"SC Freiburg",27,NicolasHöfler,NULL,"Mittelfeld - Defensives Mittelfeld",2024_2025
55099,NULL,"SC Freiburg",27,NicolasHöfler,NULL,"Mittelfeld - Defensives Mittelfeld",2025_2026
55597,NULL,"SV 07 Elversberg",13,MarcelCorreia,NULL,"Abwehr - Innenverteidiger",2022_2023
55597,NULL,"SV 07 Elversberg",13,MarcelCorreia,NULL,"Abwehr - Innenverteidiger",2023_2024
57051,NULL,"TSG 1899 Hoffenheim",16,SebastianRudy,NULL,"Mittelfeld - Defensives Mittelfeld",2022_2023
57071,NULL,"RB Leipzig",1,PéterGulácsi,NULL,Torwart,2022_2023
57071,NULL,"RB Leipzig",1,PéterGulácsi,NULL,Torwart,2023_2024
57071,NULL,"RB Leipzig",1,PéterGulácsi,NULL,Torwart,2024_2025
