tm_id,saison,market_value_eur,last_updated,updated_at
42783,2022_2023,2000000,NULL,2022-06-09
42783,2022_2023,2000000,NULL,2022-11-09
42936,2022_2023,1500000,NULL,2022-06-09
42936,2022_2023,1500000,NULL,2022-11-09
43824,2025_2026,700000,NULL,2025-06-05
43824,2025_2026,400000,NULL,2025-10-14
43824,2025_2026,300000,NULL,2025-12-19
44466,2022_2023,2500000,NULL,2022-06-09
44466,2022_2023,2500000,NULL,2022-11-09
44466,2023_2024,2000000,NULL,2023-06-22
44466,2023_2024,1000000,NULL,2023-12-14
44536,2022_2023,100000,NULL,2022-06-28
44536,2022_2023,100000,NULL,2022-12-08
44536,2023_2024,100000,NULL,2023-06-13
44536,2023_2024,100000,NULL,2023-12-15
44536,2024_2025,100000,NULL,2024-06-06
44536,2024_2025,100000,NULL,2024-12-19
44536,2025_2026,100000,NULL,2025-06-19
44536,2025_2026,100000,NULL,2025-12-16
44607,2022_2023,150000,NULL,2022-06-16
44607,2022_2023,150000,NULL,2022-11-30
44607,2023_2024,100000,NULL,2023-06-28
44607,2023_2024,100000,NULL,2023-12-15
44607,2024_2025,100000,NULL,2024-06-06
44607,2024_2025,100000,NULL,2024-12-19
45660,2022_2023,3000000,NULL,2022-06-09
45660,2022_2023,6000000,NULL,2022-11-09
45660,2023_2024,5000000,NULL,2023-06-22
45660,2023_2024,3000000,NULL,2023-12-14
45672,2022_2023,7000000,NULL,2022-06-09
45672,2022_2023,8500000,NULL,2022-11-09
45672,2023_2024,8500000,NULL,2023-06-22
45672,2023_2024,7000000,NULL,2023-12-14
45672,2024_2025,5000000,NULL,2024-03-27
45672,2024_2025,4000000,NULL,2024-05-29
45672,2024_2025,3000000,NULL,2024-12-20
45683,2022_2023,1700000,NULL,2022-06-09
45683,2022_2023,1700000,NULL,2022-11-09
45683,2023_2024,1500000,NULL,2023-06-22
45683,2023_2024,1500000,NULL,2023-12-14
45683,2024_2025,1500000,NULL,2024-05-29
45683,2024_2025,800000,NULL,2024-12-20
46580,2022_2023,12000000,NULL,2022-06-09
46580,2022_2023,9000000,NULL,2022-11-09
46580,2023_2024,8000000,NULL,2023-06-22
46580,2023_2024,6000000,NULL,2023-12-14
46580,2024_2025,5000000,NULL,2024-05-29
46580,2024_2025,4000000,NULL,2024-12-20
46580,2025_2026,4000000,NULL,2025-06-05
46580,2025_2026,3000000,NULL,2025-12-19
47587,2022_2023,800000,NULL,2022-06-09
47587,2022_2023,800000,NULL,2022-11-09
47587,2023_2024,600000,NULL,2023-06-22
47587,2023_2024,400000,NULL,2023-12-14
48015,2022_2023,5000000,NULL,2022-06-09
48015,2022_2023,4000000,NULL,2022-09-21
48015,2022_2023,2500000,NULL,2022-11-09
48015,2023_2024,2500000,NULL,2023-06-22
48015,2023_2024,2500000,NULL,2023-12-14
48015,2024_2025,2500000,NULL,2024-05-29
48015,2024_2025,2000000,NULL,2024-12-20
48298,2022_2023,2500000,NULL,2022-06-09
48298,2022_2023,2500000,NULL,2022-11-09
49723,2022_2023,1200000,NULL,2022-06-09
49723,2022_2023,1200000,NULL,2022-11-09
49723,2023_2024,700000,NULL,2023-06-22
49723,2023_2024,500000,NULL,2023-12-14
49723,2024_2025,500000,NULL,2024-05-29
49723,2024_2025,350000,NULL,2024-12-20
49723,2025_2026,350000,NULL,2025-06-05
49723,2025_2026,350000,NULL,2025-12-19
50512,2022_2023,3000000,NULL,2022-03-24
50512,2022_2023,3000000,NULL,2022-06-09
50512,2022_2023,4000000,NULL,2022-09-21
50512,2022_2023,4000000,NULL,2022-11-09
51676,2022_2023,1000000,NULL,2022-06-09
