tm_id,dfl_id,club_name,shirt_number,full_name_tm,date_of_birth,position,saison,age
34787,NULL,"FC Augsburg",14,JulianBaumgartlinger,1988-01-02,"Mittelfeld - Defensives Mittelfeld",2022_2023,38
35207,NULL,"Borussia Dortmund",11,MarcoReus,1989-05-31,"Mittelfeld - Offensives Mittelfeld",2022_2023,37
35207,NULL,"Borussia Dortmund",11,MarcoReus,1989-05-31,"Mittelfeld - Offensives Mittelfeld",2023_2024,37
36182,NULL,"SC Paderborn 07",NULL,MaxKruse,1988-03-19,"Sturm - Hängende Spitze",2023_2024,38
36284,NULL,"FC Schalke 04",9,SimonTerodde,1988-03-02,"Sturm - Mittelstürmer",2022_2023,38
36284,NULL,"FC Schalke 04",9,SimonTerodde,1988-03-02,"Sturm - Mittelstürmer",2023_2024,38
38410,NULL,"FC Augsburg",20,DanielCaligiuri,1988-01-15,"Sturm - Rechtsaußen",2022_2023,38
39015,NULL,"FC Schalke 04",1,RalfFährmann,1988-09-27,Torwart,2022_2023,37
39015,NULL,"FC Schalke 04",1,RalfFährmann,1988-09-27,Torwart,2023_2024,37
39015,NULL,"FC Schalke 04",NULL,RalfFährmann,1988-09-27,Torwart,2024_2025,37
39025,NULL,"FC Schalke 04",8,DannyLatza,1989-12-07,"Mittelfeld - Defensives Mittelfeld",2022_2023,36
39025,NULL,"FC Schalke 04",8,DannyLatza,1989-12-07,"Mittelfeld - Defensives Mittelfeld",2023_2024,36
39259,NULL,"Eintracht Frankfurt",20,MakotoHasebe,1984-01-18,"Mittelfeld - Defensives Mittelfeld",2022_2023,42
39259,NULL,"Eintracht Frankfurt",20,MakotoHasebe,1984-01-18,"Mittelfeld - Defensives Mittelfeld",2023_2024,42
39728,NULL,"Borussia Dortmund",15,MatsHummels,1988-12-16,"Abwehr - Innenverteidiger",2022_2023,37
39728,NULL,"Borussia Dortmund",15,MatsHummels,1988-12-16,"Abwehr - Innenverteidiger",2023_2024,37
39983,NULL,"1.FC Union Berlin",23,LeonardoBonucci,1987-05-01,"Abwehr - Innenverteidiger",2023_2024,39
40034,NULL,"Eintracht Frankfurt",31,JensGrahl,1988-09-22,Torwart,2022_2023,37
40034,NULL,"Eintracht Frankfurt",33,JensGrahl,1988-09-22,Torwart,2023_2024,37
40034,NULL,"Eintracht Frankfurt",33,JensGrahl,1988-09-22,Torwart,2024_2025,37
40034,NULL,"Eintracht Frankfurt",33,JensGrahl,1988-09-22,Torwart,2025_2026,37
40680,NULL,"FC Bayern München",26,SvenUlreich,1988-08-03,Torwart,2022_2023,37
40680,NULL,"FC Bayern München",26,SvenUlreich,1988-08-03,Torwart,2023_2024,37
40680,NULL,"FC Bayern München",26,SvenUlreich,1988-08-03,Torwart,2024_2025,37
40680,NULL,"FC Bayern München",NULL,SvenUlreich,1988-08-03,Torwart,2025_2026,37
40792,NULL,"SC Paderborn 07",1,ManuelRiemann,1988-09-09,Torwart,2024_2025,37
42205,NULL,"Borussia Mönchengladbach",NULL,YannSommer,1988-12-17,Torwart,2022_2023,37
42783,NULL,"FC Augsburg",28,AndréHahn,1990-08-13,"Sturm - Rechtsaußen",2022_2023,35
42936,NULL,"SC Freiburg",18,NilsPetersen,1988-12-06,"Sturm - Mittelstürmer",2022_2023,37
43824,NULL,"FC Schalke 04",22,KevinMüller,1991-03-15,Torwart,2025_2026,35
44466,NULL,"Eintracht Frankfurt",17,SebastianRode,1990-10-11,"Mittelfeld - Zentrales Mittelfeld",2022_2023,35
44466,NULL,"Eintracht Frankfurt",17,SebastianRode,1990-10-11,"Mittelfeld - Zentrales Mittelfeld",2023_2024,35
44536,NULL,"SV 07 Elversberg",1,FrankLehmann,1989-04-29,Torwart,2022_2023,37
44536,NULL,"SV 07 Elversberg",1,FrankLehmann,1989-04-29,Torwart,2023_2024,37
44536,NULL,"SV 07 Elversberg",1,FrankLehmann,1989-04-29,Torwart,2024_2025,37
44536,NULL,"SV 07 Elversberg",1,FrankLehmann,1989-04-29,Torwart,2025_2026,37
44607,NULL,"Hamburger SV",12,TomMickel,1989-04-19,Torwart,2022_2023,37
44607,NULL,"Hamburger SV",12,TomMickel,1989-04-19,Torwart,2023_2024,37
44607,NULL,"Hamburger SV",12,TomMickel,1989-04-19,Torwart,2024_2025,37
45660,NULL,"FC Bayern München",13,Eric-MaximChoupo-Moting,1989-03-23,"Sturm - Mittelstürmer",2022_2023,37
45660,NULL,"FC Bayern München",13,Eric-MaximChoupo-Moting,1989-03-23,"Sturm - Mittelstürmer",2023_2024,37
45672,NULL,"Eintracht Frankfurt",1,KevinTrapp,1990-07-08,Torwart,2022_2023,36
45672,NULL,"Eintracht Frankfurt",1,KevinTrapp,1990-07-08,Torwart,2023_2024,36
45672,NULL,"Eintracht Frankfurt",1,KevinTrapp,1990-07-08,Torwart,2024_2025,36
45683,NULL,"SC Freiburg",5,ManuelGulde,1991-02-12,"Abwehr - Innenverteidiger",2022_2023,35
45683,NULL,"SC Freiburg",5,ManuelGulde,1991-02-12,"Abwehr - Innenverteidiger",2023_2024,35
45683,NULL,"SC Freiburg",5,ManuelGulde,1991-02-12,"Abwehr - Innenverteidiger",2024_2025,35
